Name|Last Release|Code type|Keywords [Max 3]|Field|License|Programming Language|Institution(s)|Website|Related publications|Source code |Contacts|Description|Short description (≤300 chars, summarized)|Concept DOI (from zenodo)|Other DOIs|Software Logo (yes/no)|Image url
CERR|2003|Application|Treatment Planning and dosimetry|Photons|LGPL-2.1|Matlab|Memorial Sloan Kettering Cancer Center|https://cerr.github.io/CERR/|https://doi.org/10.1118/1.1568978|https://github.com/cerr/CERR|deasyj@mskcc.org|https://raw.githubusercontent.com/cerr/CERR/refs/heads/master/README.md|CERR (pronounced 'sir'), stands for Computational Environment for Radiological Research. CERR is MATLAB based software platform for developing and sharing research results using radiation therapy treatment planning and imaging informatics.|NA||No|
pyCERR|2023|Application|Treatment Planning and dosimetry|Photons|GPL-3.0|Python|Memorial Sloan Kettering Cancer Center|https://cerr.github.io/CERR/||https://github.com/cerr/pyCERR||https://raw.githubusercontent.com/cerr/pyCERR/refs/heads/main/README.md|pyCERR provides convenient data structure for imaging metadata and their associations. Utilities are provided to to extract, transform, organize metadata and visualize results of image processing for image and dosimetry features, image processing for AI model training and inference.|NA||No|
MCsquare|2016|Application|Treatment Planning and dosimetry|Protons/Ions|Apache 2.0|C|MIRO (UCLouvain), IBA|http://www.openmcsquare.org/|https://doi.org/10.1118/1.4943377|https://gitlab.com/openmcsquare/MCsquare|kevin.souris@gmail.com|https://gitlab.com/openmcsquare/MCsquare/-/raw/master/README.md?ref_type=heads|Fast Monte Carlo dose calculation algorithm for the simulation of PBS proton therapy.|NA||No|https://openpath.software/images/MCSquare_logo_small.png
TOPAS|2012|Application|Treatment Planning and dosimetry|Multiple purpose|not standard|C++|TOPAS MC Inc (non-profit) originally: SLAC National Accelerator Laboratory, Massachusetts General Hospital and the University of California at San Francisco.|https://www.topasmc.org/home|https://doi.org/10.1118/1.4758060|https://github.com/OpenTOPAS/OpenTOPAS|perl@topasmc.org|https://raw.githubusercontent.com/OpenTOPAS/OpenTOPAS/refs/heads/main/README.md|The TOPAS toolkit aims to provide an intuitive Monte Carlo framework for medical physicists and researchers in related fields|NA||Yes|https://avatars.githubusercontent.com/u/147089948?s=200&v=4
GATE|2014|Application|Treatment Planning and dosimetry|Multiple purpose|LGPL-3.0 license|C++| OpenGATE collaboration - 25 institutions - Creatis (Lyon) and LPC (Laboratoire de Physique de Clairmont) University Clermont Auvergne|http://www.opengatecollaboration.org/|https://doi.org/10.1088/0031-9155/49/19/007|https://github.com/OpenGATE/Gate|Lydia.MAIGNE@uca.fr, David.Sarrut@creatis.insa-lyon.fr|https://raw.githubusercontent.com/OpenGATE/Gate/refs/heads/develop/readme.md|GATE is open source, based on Geant4, and developed by the international OpenGATE collaboration|NA||Yes|https://avatars.githubusercontent.com/u/7346451?s=200&v=4
PENELOPE|1996|Application|Treatment Planning and dosimetry|Photons|Apache-2.0 license|FORTRAN|Universitat de Barcelona|https://www.oecd-nea.org/jcms/pl_108003/penelope-2024-a-code-system-for-monte-carlo-simulation-of-electron-and-photon-transport?details=true|https://www.osti.gov/etdeweb/biblio/378659|||The FORTRAN 77 subroutine package PENELOPE performs Monte Carlo simulation of electron-photon showers in arbitrary for a wide energy range, from similar{sub t}o 1 KeV to several hundred MeV. Photon transport is simulated by means of the standard, detailed simulation scheme. Electron and positron histories are generated on the basis of a mixed procedure, which combines detailed simulation of hard events with condensed simulation of soft interactions. A simple geometry package permits the generation of random electron-photon showers in material systems consisting of homogeneous bodies limited by quadric surfaces, i.e. planes, spheres cylinders, etc. This report is intended not only to serve as a manual of the simulation package, but also to provide the user with the necessary information to understand the details of the Monte Carlo algorithm.|The computer code system penelope (version 2024) performs Monte Carlo simulation of coupled electron-photon transport in arbitrary materials for a wide energy range, from a few hundred eV to about 1 GeV. |NA||No|
pyPENELOPEtools|2022|Library/Toolkit|Treatment Planning and dosimetry|Multiple purpose|Apache-2.0 license|Python| University Street, Montréal, Canada|https://pypenelope.sourceforge.net/||https://github.com/pymontecarlo/pypenelopetools|https://github.com/ppinard and https://github.com/drix00|https://raw.githubusercontent.com/pymontecarlo/pypenelopetools/refs/heads/master/README.md|pyPENELOPEtools is an open-source software to facilitate the use of the Monte Carlo code PENELOPE and its main programs such as PENEPMA|NA||No|
GEANT4|2025|Application|Treatment Planning and dosimetry|Multiple purpose|not standard|C++|CERN|https://geant4.org/|https://doi.org/10.1016/S0168-9002(03)01368-8|https://github.com/Geant4/geant4||https://raw.githubusercontent.com/Geant4/geant4/refs/heads/master/README.rst|Toolkit for the simulation of the passage of particles through matter. Its areas of application include high energy, nuclear and accelerator physics.|NA||yes|https://geant4.web.cern.ch/assets/logo/g4logo-web.png
FLUKA|2025|Application|Treatment Planning and dosimetry|Multiple purpose|not standard|FORTRAN|CERN|http://www.fluka.org/, https://fluka.cern/|https://www.slac.stanford.edu/pubs/slacreports/reports16/slac-r-773.pdf|none||The FLUKA code is a general purpose Monte Carlo code for the interaction and transport of hadrons, leptons, and photons from keV (with the exception of neutrons, tracked down to thermal energies) to cosmic ray energies in any material.\n\nIt has been built with the aim of including the best physics models in terms of completeness and precision, through a microscopic approach where each step has sound physics bases. Reliability is pursued by comparing with particle production data at single interaction level. No tuning on integral data, like calorimeter resolutions, thick target yields etc., is performed. Therefore, final predictions are obtained with minimal free parameters, fixed for all energies and target/projectile combinations. Results in complex problems as well as scaling laws and properties come out naturally from the underlying physics models and the basic conservation laws are fulfilled a priori. Moreover, the microscopic approach preserves correlations within interactions and among the particle shower components, and it provides predictions where no experimental data is available. Powerful biasing techniques are built-in to allow to critically reduce computing time when needed. Transport in magnetic field is also performed.\n\nFLUKA has a wide range of applications, spanning accelerator design and shielding, radiation protection, particle physics, dosimetry, detector simulation, hadrontherapy.|The FLUKA code is a general purpose Monte Carlo code for the interaction and transport of hadrons, leptons, and photons from keV (with the exception of neutrons, tracked down to thermal energies) to cosmic ray energies in any material.|NA||yes|https://fluka.cern/sites/default/files/logo/Fluka_Logo_1_white.png
3DSlicer|2025|Application|Imaging and Image Processing|Multiple purpose|not standard|C++||https://coin-or.github.io/Ipopt/||https://github.com/Slicer/Slicer||https://raw.githubusercontent.com/Slicer/Slicer/refs/heads/main/README.md|3D Slicer is a free, open source software for visualization, processing, segmentation, registration, and analysis of medical, biomedical, and other 3D images and meshes; and planning and navigating image-guided procedures.|NA||yes|https://avatars.githubusercontent.com/u/324362?s=200&v=4
IPOPT|2002|Library/Toolkit|Software Engineering and Data Infrastructure||EPL-2.0|C++||https://coin-or.github.io/Ipopt/|https://doi.org/10.1007/s10107-004-0559-y|https://github.com/coin-or/Ipopt|info@coin-or.org|https://raw.githubusercontent.com/coin-or/Ipopt/refs/heads/stable/3.14/README.md|Ipopt (Interior Point OPTimizer, pronounced eye-pea-Opt) is a software package for large-scale nonlinear optimization.|NA||no|
MONAI|2025|Library/Toolkit|Artificial Intelligence|Multiple purpose|Apache 2.0|Python||https://docs.monai.io/en/stable/||https://github.com/Project-MONAI/MONAI||https://raw.githubusercontent.com/Project-MONAI/MONAI/refs/heads/dev/README.md|Project MONAI is revolutionizing medical imaging through a comprehensive ecosystem of AI tools|NA||yes|https://raw.githubusercontent.com/Project-MONAI/MONAI/dev/docs/images/MONAI-logo-color.png
RTEMIS|2025|Application|Artificial Intelligence|Protons/Ions|Not explicitly stated|R||https://rtemis.org||https://github.com/rtemis-org/rtemis?tab=contributing-ov-file||https://raw.githubusercontent.com/rtemis-org/rtemis/refs/heads/main/README.md|Advanced Machine Learning and Visualization|NA||yes|https://www.rtemis.org/logo.svg
nnU-Net|2024|Application|Artificial Intelligence|Multiple purpose|Apache 2.0|||https://github.com/mic-dkfz/nnunet|https://doi.org/10.5281/zenodo.4485926, https://doi.org/10.1038/s41592-020-01008-z|https://github.com/mic-dkfz/nnunet||https://raw.githubusercontent.com/MIC-DKFZ/nnUNet/refs/heads/master/readme.md|nnU-Net is a semantic segmentation method that automatically adapts to a given dataset. It will analyze the provided training cases and automatically configure a matching U-Net-based segmentation pipeline.|NA||No|
AMIGOpy|2025|Application|Treatment Planning and dosimetry|Brachytherapy|GPL-3.0|Python|Maastro, University of Maastricht|https://www.amigo-medphys.com/||https://github.com/PhysicsResearch/AMIGOpy|gabriel.paivafonseca@maastro.nl|https://raw.githubusercontent.com/PhysicsResearch/AMIGOpy/refs/heads/main/README.md|Welcome to AMIGOpy (A Medical Image-based Graphical platfOrm - Python)! This is an evolution of the previously developed MATLAB-based software AMIGOBrachy.|NA||yes|https://avatars.githubusercontent.com/u/20109682?v=4
RTpipeline|2026|Application|Clinical workflow and applications|Multiple purpose|MIT|Jupyter Notebook (81.2%), Python (16.7%), Shell (1.2%), Other (0.9%)||https://kstawiski.github.io/rtpipeline/||https://github.com/kstawiski/rtpipeline||https://raw.githubusercontent.com/kstawiski/rtpipeline/refs/heads/main/README.md|RTpipeline is a comprehensive, research-grade pipeline that transforms raw DICOM radiotherapy exports into analysis-ready data. It bridges the technical gap between clinical Treatment Planning Systems (TPS) and statistical/ML analysis|NA||No|
pyRadPlan|2026|Application|Treatment Planning and dosimetry, Artificial Intelligence|Multiple purpose|BSD-3-Clause|Python|German Cancer Research Center (DKFZ)|https://pyradplan.readthedocs.io/en/latest/|https://doi.org/10.5281/zenodo.15006909|https://github.com/e0404/pyRadPlan|n.wahl@dkfz-heidelberg.de|https://raw.githubusercontent.com/e0404/pyRadPlan/refs/heads/main/README.md|Related to matRad. Aims to facilitate AI integration into treatment planning workflows (research only).|https://doi.org/10.5281/zenodo.20041330|10.5281/zenodo.15006909|No|
